iter	Passed	Remaining
0	1	136
1	2	126
2	3	122
3	4	114
4	5	110
5	6	107
6	7	104
7	8	101
8	9	98
9	10	95
10	11	94
11	12	92
12	13	90
13	14	89
14	15	89
15	16	88
16	17	86
17	18	85
18	19	83
19	20	82
20	21	80
21	22	79
22	23	78
23	24	76
24	25	75
25	25	73
26	26	72
27	27	70
28	28	69
29	29	68
30	30	67
31	31	66
32	32	65
33	32	63
34	33	62
35	34	61
36	35	60
37	36	58
38	36	57
39	37	56
40	38	55
41	38	53
42	39	52
43	40	51
44	41	50
45	41	49
46	42	48
47	43	47
48	44	46
49	45	45
50	46	44
51	47	43
52	47	42
53	48	41
54	49	40
55	49	39
56	50	38
57	51	37
58	52	36
59	53	35
60	54	34
61	55	33
62	55	32
63	56	31
64	57	31
65	58	30
66	59	29
67	60	28
68	61	27
69	62	26
70	63	25
71	64	25
72	65	24
73	66	23
74	66	22
75	67	21
76	68	20
77	69	19
78	70	18
79	71	17
80	71	16
81	72	15
82	73	15
83	74	14
84	75	13
85	76	12
86	77	11
87	78	10
88	78	9
89	79	8
90	80	7
91	81	7
92	82	6
93	82	5
94	83	4
95	84	3
96	85	2
97	86	1
98	86	0
99	87	0
